ID,"Botanical name"
1,"Carpinus Betulus"
2,"Dendrocalamus Giganteus"
3,"Bertholletia Excelsia"
4,"Musa Acuminata"
5,"Acer"
6,"Petula Pendula"
7,"Fraxinus"
8,"Tilia"
9,"Fagus Sylvatica L."
10,"Liriodendron"
11,"Citrus Sinensis ‘Doppio Sanguinello’"
12,"Acer Palmatum"
13,"Prunus Armeniaca"
14,"Tilia Euchlora"
15,"Koelreuteria Paniculata"
16,"Ribes Rubrum"
17,"Acer Ginnala"
18,"Staphyleaceae"
19,"Gleditsia Triacanthos"
20,"Acer Tataricum"
21,"Cercis Siliquastrum"
22,"Tamarix Africana"
23,"Platanus Orientalis"
24,"Prunus Domestica"
25,"Tilia Americana"
26,"Ficus Carica"
27,"Catalpa Bignonioides"
28,"Tamarindus Indica"
29,"Celtis Occidentalis"
30,"Cornus Mas"
31,"Gymnocladus Dioicus"
32,"Seqoiadenrdon Gigantum"
33,"Opuntia Ficus-Indica"
34,"Phoenix Dactylifera"
35,"Punica Granatum"
36,"Prunus domestica subsp. syriaca"
37,"Prunus Persica Var. Nucipersia"
38,"Acer Hyrcanum"
39,"Prunus Persica Var. Nucipersia ‘Saturn’"
40,"Prunus salicina 'Satsuma'"
41,"Alnus alnobetula"
42,"Prunus Persica"
43,"Betula Pendula"
44,"Acer Griseum"
45,"Acer pseudoplatanus"
46,"Acer pseudoplatanus"
47,"Dracaena draco"
48,"Prunus persica var. platycarpa"
49,"Amorpha fruticosa"
50,"Actinidia chinensis"
51,"Selenicereus Undatus"
52,"Prunus subg. Cerasus"
53,"Corylus avellana"
54,"Asimina triloba"
55,"Prunus Dulcis"
56,"Ziziphus mauritiana"
57,"Juglans regia"
58,"Morus Alba _ Morus Nigra"
59,"Quercus Robur"
60,"Castanea Sativa"
61,"Pistacia Vera"
62,"Prunus Domestica"
63,"Hibiscus syriacus"
64,"Cinnamomum verum"
65,"Jacaranda Mimosifolia"
66,"Tabebuia Rosea"
67,"Diospyros Digra"
68,"Dendrocalamus strictus"
69,"Eucalyptus Deglupta"
70,"Paulownia Tomentosa"
71,"Solanum quitoense"
72,"Magnolia Champaca"
73,"Ravenala Madagascariensis"
74,"Tabebuia Rosea"
75,"Broussonetia papyrifera"
76,"Santalum Album"
77,"Lagerstroemia Indica"
78,"Carya illinoinensis"
79,"Theobroma cacao"
80,"Acer Negundo"
81,"Trifoliate orange"
83,"Myristica fragrans"
84,"Olea Europaea"
85,"Fortunella Japonica"
86,"Heptacodium Miconioides"
87,"Nephelium Lappaceum"
88,"Salacca Zacalla"
89,"Albizia julibrissin"
90,"Averrhoa carambola"
91,"Robinia pseudoacacia"
92,"Morus Nigra"
93,"Juglans nigra"
94,"Ceratonia Siliqua"
95,"Crataegus monogyna"
96,"Tibouchina"
97,"Magnolia Denudata"
98,"Diospyros lotus"
99,"Buddleja"
100,"Cestrum nocturnum"
101,"Delonix Regia"
102,"Annona Muricata"
103,"Cananga Odorata"
104,"Acca sellowiana"
105,"Magnolia liliiflora"
106,"Citrus × paradisi"
107,"Citrus Limon Medica Pigmentata"
108,"Musa Velutina"
109,"Linnaea Amabilis"
110,"Cotinus"
111,"Annona Cherimola"
112,"Nerium Oleander"
113,"Citrus medica var. sarcodactylis"
114,"Actinidia Arguta"
115,"Sambucus Nigra"
