ID,Name,Botanical name,vine,bamboo,tree,shrub,cactus,edible,ornam.,fragrant,medicinal,wood,height range (m),germination time,germination comment,germination instructions,Description
1,European Hornbeam,Carpinus Betulus,n,n,y,n,n,n,n,n,n,,15-20,Variable,often slow,"Carpinus betulus, commonly known as the European Hornbeam, is a deciduous tree native to Europe and Western Asia. Often confused with beech trees, it boasts a smooth, grey bark and distinctive muscle-like fluting on its trunk as it matures. Its oval leaves are deeply ribbed and turn a beautiful golden-yellow in autumn before persisting on the branches throughout winter, providing year-round interest. The European Hornbeam is a hardy and adaptable tree, frequently used for hedging, topiary, and formal landscaping due to its tolerance of pruning and ability to create dense, formal shapes.","Carpinus betulus, commonly known as the European Hornbeam, is a deciduous tree native to Europe and Western Asia. Often confused with beech trees, it boasts a smooth, grey bark and distinctive muscle-like fluting on its trunk as it matures. Its oval leaves are deeply ribbed and turn a beautiful golden-yellow in autumn before persisting on the branches throughout winter, providing year-round interest. The European Hornbeam is a hardy and adaptable tree, frequently used for hedging, topiary, and formal landscaping due to its tolerance of pruning and ability to create dense, formal shapes."
2,Giant Bamboo,Dendrocalamus Giganteus,n,y,n,n,n,n,n,n,n,y,20-35,1-2 weeks,,"Dendrocalamus giganteus, often called giant bamboo, is a colossal species native to Southeast Asia, renowned for being one of the largest bamboo species in the world. Its towering culms can reach up to 100 feet tall and a foot in diameter, making it a truly impressive sight. This fast-growing bamboo is highly valued for its strong and versatile timber, which is used in construction, furniture making, and various other applications. Beyond its practical uses, Dendrocalamus giganteus also adds a majestic and tropical aesthetic to landscapes.","Dendrocalamus giganteus, often called giant bamboo, is a colossal species native to Southeast Asia, renowned for being one of the largest bamboo species in the world. Its towering culms can reach up to 100 feet tall and a foot in diameter, making it a truly impressive sight. This fast-growing bamboo is highly valued for its strong and versatile timber, which is used in construction, furniture making, and various other applications. Beyond its practical uses, Dendrocalamus giganteus also adds a majestic and tropical aesthetic to landscapes."
3,Brazil Nut,Bertholletia Excelsia,n,n,y,n,n,y,n,n,n,,30-50,Variable,can be several months,"Bertholletia excelsa, more commonly known as the Brazil nut tree, is a massive South American rainforest tree prized for its nutrient-rich nuts. Reaching heights of up to 50 meters, these trees produce large, woody capsules containing 10-25 Brazil nuts. They are highly dependent on specific symbiotic relationships with certain bee species for pollination and agoutis for seed dispersal, making sustainable harvesting crucial for their long-term survival. Beyond their edible nuts, the tree's timber and oil are also utilized, contributing to the livelihoods of local communities within the Amazon basin.","Bertholletia excelsa, more commonly known as the Brazil nut tree, is a massive South American rainforest tree prized for its nutrient-rich nuts. Reaching heights of up to 50 meters, these trees produce large, woody capsules containing 10-25 Brazil nuts. They are highly dependent on specific symbiotic relationships with certain bee species for pollination and agoutis for seed dispersal, making sustainable harvesting crucial for their long-term survival. Beyond their edible nuts, the tree's timber and oil are also utilized, contributing to the livelihoods of local communities within the Amazon basin."
4,Red Banana,Musa Acuminata,n,n,n,n,n,y,n,n,n,,2-5,Variable,2-3 weeks optimal,"Musa acuminata is a species of banana native to Southeast Asia, prized as the primary ancestor of most cultivated banana varieties we consume today. Characterized by its soft, sweet fruit and relatively smaller size compared to some other banana species, it has been selectively bred over centuries to produce the Cavendish and other popular cultivars. Beyond its edible fruit, Musa acuminata also contributes to local economies and cultures, with its leaves used for wrapping food and its fibers woven into textiles. Its adaptability and genetic diversity have made it a cornerstone of the global banana industry.","Musa acuminata is a species of banana native to Southeast Asia, prized as the primary ancestor of most cultivated banana varieties we consume today. Characterized by its soft, sweet fruit and relatively smaller size compared to some other banana species, it has been selectively bred over centuries to produce the Cavendish and other popular cultivars. Beyond its edible fruit, Musa acuminata also contributes to local economies and cultures, with its leaves used for wrapping food and its fibers woven into textiles. Its adaptability and genetic diversity have made it a cornerstone of the global banana industry."
5,Common Maple,Acer Campestre,n,n,y,n,n,n,n,n,n,,10-20,2-3 weeks,,"Acer campestre, commonly known as the field maple, is a medium-sized deciduous tree native to Europe and western Asia. Reaching heights of up to 20 meters, it's characterized by its rounded crown, smooth grey-brown bark that becomes fissured with age, and distinctive five-lobed leaves that turn a vibrant yellow in autumn.  Small, greenish-yellow flowers appear in spring, followed by winged samaras (seeds) that are dispersed by the wind. Tolerant of a wide range of soil conditions and pollution, the field maple is often used for hedging, screening, and as a street tree in urban environments.","Acer campestre, commonly known as the field maple, is a medium-sized deciduous tree native to Europe and western Asia. Reaching heights of up to 20 meters, it's characterized by its rounded crown, smooth grey-brown bark that becomes fissured with age, and distinctive five-lobed leaves that turn a vibrant yellow in autumn.  Small, greenish-yellow flowers appear in spring, followed by winged samaras (seeds) that are dispersed by the wind. Tolerant of a wide range of soil conditions and pollution, the field maple is often used for hedging, screening, and as a street tree in urban environments."
6,Birch,Betula Penduia,n,n,y,n,n,n,n,n,n,,15-30,1-2 weeks,,"Betula pendula, commonly known as the silver birch or weeping birch, is a medium-sized deciduous tree characterized by its striking white bark, often peeling in papery layers, and slender, drooping branches that give it a graceful, weeping appearance. Its leaves are triangular to diamond-shaped with serrated edges, turning a vibrant yellow in autumn. This hardy tree is a pioneer species, thriving in various soil conditions and tolerating both sun and partial shade. Its delicate catkins produce seeds dispersed by the wind, contributing to its widespread distribution across Europe and parts of Asia.","Betula pendula, commonly known as the silver birch or weeping birch, is a medium-sized deciduous tree characterized by its striking white bark, often peeling in papery layers, and slender, drooping branches that give it a graceful, weeping appearance. Its leaves are triangular to diamond-shaped with serrated edges, turning a vibrant yellow in autumn. This hardy tree is a pioneer species, thriving in various soil conditions and tolerating both sun and partial shade. Its delicate catkins produce seeds dispersed by the wind, contributing to its widespread distribution across Europe and parts of Asia."
7,Ash,Fraxinus,n,n,y,n,n,n,n,n,n,,20-35,Variable,often requires stratification,"Fraxinus, commonly known as ash trees, is a genus of flowering plants in the olive family, Oleaceae. These deciduous trees are native to most of Europe, Asia, and North America, typically found in temperate regions. Ash trees are valued for their strong, durable wood, used in tool handles, baseball bats, and furniture. They are characterized by their pinnately compound leaves, opposite branching patterns, and clusters of winged fruits called samaras. Unfortunately, many ash species are currently threatened by the emerald ash borer, an invasive insect that has devastated ash populations across North America.","Fraxinus, commonly known as ash trees, is a genus of flowering plants in the olive family, Oleaceae. These deciduous trees are native to most of Europe, Asia, and North America, typically found in temperate regions. Ash trees are valued for their strong, durable wood, used in tool handles, baseball bats, and furniture. They are characterized by their pinnately compound leaves, opposite branching patterns, and clusters of winged fruits called samaras. Unfortunately, many ash species are currently threatened by the emerald ash borer, an invasive insect that has devastated ash populations across North America."
8,Lime Tree,Tilia,n,n,y,n,n,n,n,y,n,,20-40,2-3 weeks,,"Tilia, also known as linden or basswood, is a genus of deciduous trees characterized by their heart-shaped leaves, fragrant, creamy-white flowers that attract bees, and distinctive bracts attached to the flower clusters. These medium to large-sized trees are commonly found in temperate regions of the Northern Hemisphere and are valued for their shade-providing canopy, ornamental qualities, and the medicinal properties attributed to their flowers. Tilia wood is also prized for carving and woodworking due to its soft texture and ease of shaping.","Tilia, also known as linden or basswood, is a genus of deciduous trees characterized by their heart-shaped leaves, fragrant, creamy-white flowers that attract bees, and distinctive bracts attached to the flower clusters. These medium to large-sized trees are commonly found in temperate regions of the Northern Hemisphere and are valued for their shade-providing canopy, ornamental qualities, and the medicinal properties attributed to their flowers. Tilia wood is also prized for carving and woodworking due to its soft texture and ease of shaping."
9,European Beech,Fagus Sylvatical,n,n,y,n,n,n,n,n,n,,20-40,Variable,often requires stratification,"Fagus sylvatica, commonly known as the European beech, is a majestic deciduous tree native to Europe. Renowned for its smooth, gray bark and elegantly spreading crown, it can reach impressive heights and ages, often dominating woodland landscapes. Its leaves are oval-shaped with gently wavy margins, turning a vibrant copper-bronze in autumn before eventually dropping.  Beech trees produce beechnuts, small triangular nuts enclosed in prickly cups, which are an important food source for wildlife. Often planted ornamentally, it is prized for its shade, beauty, and longevity.","Fagus sylvatica, commonly known as the European beech, is a majestic deciduous tree native to Europe. Renowned for its smooth, gray bark and elegantly spreading crown, it can reach impressive heights and ages, often dominating woodland landscapes. Its leaves are oval-shaped with gently wavy margins, turning a vibrant copper-bronze in autumn before eventually dropping.  Beech trees produce beechnuts, small triangular nuts enclosed in prickly cups, which are an important food source for wildlife. Often planted ornamentally, it is prized for its shade, beauty, and longevity."
10,Tulip Tree,Liriodendron,n,n,y,n,n,n,y,n,y,,25-50,Variable,often slow and requires stratification,"Liriodendron, commonly known as tulip trees or tulip poplars, are stately deciduous trees prized for their unique, tulip-shaped leaves and striking, cup-like flowers that bloom in late spring. These fast-growing trees boast a straight trunk and a pyramidal crown, eventually maturing into large specimens that can reach impressive heights.  Their leaves turn a vibrant golden-yellow in autumn, providing a beautiful display of fall color.  Liriodendron are valued as ornamental trees in parks and large gardens, and their wood is also used for furniture making and other applications.","Liriodendron, commonly known as tulip trees or tulip poplars, are stately deciduous trees prized for their unique, tulip-shaped leaves and striking, cup-like flowers that bloom in late spring. These fast-growing trees boast a straight trunk and a pyramidal crown, eventually maturing into large specimens that can reach impressive heights.  Their leaves turn a vibrant golden-yellow in autumn, providing a beautiful display of fall color.  Liriodendron are valued as ornamental trees in parks and large gardens, and their wood is also used for furniture making and other applications."
